customer_id,gender,age,country,city,signup_date,last_purchase_date,acquisition_channel,device_type,subscription_type,is_premium_user,total_visits,avg_session_time,pages_per_session,email_open_rate,email_click_rate,total_spent,avg_order_value,discount_used,coupon_code,support_tickets,refund_requested,delivery_delay_days,payment_method,satisfaction_score,nps_score,marketing_spend_per_user,lifetime_value,last_3_month_purchase_freq,churn
10001,Male,52,India,Berlin,2022-05-10 00:00:00,2024-12-31 00:00:00,Email,Tablet,Annual,1,7,13.9037447368063,5.41516421012665,0.67,0.26,559.524958294943,65.2467036526621,0,NEW20,0,0,3,UPI,3,10,27.56,915.310826609752,14,0
10002,,35,Germany,Mumbai,2024-06-16 00:00:00,2024-05-07 00:00:00,Organic,Desktop,Monthly,0,19,5.11252823485629,5.35244119034683,0.7,0.37,356.491344361111,48.4738866423907,1,NEW20,5,0,3,BKash,3,7,15.15,2079.96093800663,11,0
10003,Female,27,Germany,London,2023-08-23 00:00:00,2024-04-28 00:00:00,Email,Mobile,Annual,1,18,9.74274942528181,3.5947188378537,0.47,0.44,689.332195709597,77.8153710701351,0,,1,0,2,UPI,5,6,13.51,1379.15088515747,9,0
10004,Female,36,India,Mumbai,2024-01-28 00:00:00,2023-05-20 00:00:00,Facebook Ads,Tablet,Annual,1,16,9.64265417114045,2.94953069632458,0.58,0.37,445.429636084867,71.7121915507461,0,,0,0,2,PayPal,4,6,25.65,774.652683610596,7,0
10005,Male,29,USA,Hamburg,2023-07-21 00:00:00,2024-04-07 00:00:00,Referral,Mobile,Monthly,0,12,7.79129080329233,2.40553917630639,0.05,0.16,686.286022488453,44.9902460803283,1,,2,1,4,BKash,3,1,12.39,87.6804089543525,11,0
10006,Male,29,Germany,Mumbai,2024-05-08 00:00:00,2023-01-20 00:00:00,Google Ads,Mobile,Monthly,0,13,13.2667090036655,2.88352010797696,0.12,0.33,423.243550640172,95.6342084148756,0,NEW20,2,0,2,SEPA,3,10,16.3,467.452413460829,14,0
10007,Male,39,UK,New York,2022-01-04 00:00:00,2023-12-05 00:00:00,Email,Mobile,Monthly,0,15,7.63144429525343,2.23589878157856,0.57,0.45,519.510337135069,55.9392981202279,1,SALE15,0,0,3,Card,5,10,29.76,1697.38698306348,1,0
10008,Female,,Germany,Berlin,2023-05-11 00:00:00,2024-02-14 00:00:00,Facebook Ads,Desktop,Annual,0,15,9.99433310322679,5.89204835254095,0.96,0.46,685.2671893356,82.1491728196647,1,REF10,2,0,0,SEPA,3,5,18.86,1337.96762872375,6,0
10009,Female,21,USA,London,2023-01-14 00:00:00,2024-08-19 00:00:00,Organic,Desktop,Monthly,1,10,11.4079979651014,4.59277140983209,0.99,0.22,78.6246471156209,72.9494755952069,0,NEW20,3,0,5,Card,4,7,27.14,648.012150451411,2,1
10010,Female,35,Germany,Hamburg,2022-12-22 00:00:00,2024-09-04 00:00:00,Email,Tablet,Monthly,0,14,7.43482888165296,2.68281884892773,0.03,0.46,43.2979089331155,64.6922850996087,0,NEW20,0,0,3,SEPA,3,7,5.22,1360.48336387319,9,1
10011,Male,35,Germany,Delhi,2023-04-13 00:00:00,2024-03-09 00:00:00,Facebook Ads,Desktop,Annual,0,13,4.72171939543504,4.17354688662096,0.05,0.36,247.084464063945,57.1469990516596,1,REF10,0,0,1,BKash,4,1,15.99,374.679214681145,11,0
10012,,38,Bangladesh,New York,2023-01-31 00:00:00,2023-07-21 00:00:00,Organic,Mobile,Annual,0,10,3.15068559320111,3.84755707092352,0.92,0.23,,63.8011932027742,0,,7,0,1,PayPal,2,1,8.04,239.31452188582,12,1
10013,Female,54,Germany,Hamburg,2023-03-14 00:00:00,2023-01-25 00:00:00,Organic,Tablet,Monthly,1,14,9.34082700288858,5.03093781626093,0.73,0.15,575.817816232783,33.1505208998193,1,REF10,2,0,3,UPI,4,10,8.87,572.988440282145,2,0
10014,Male,36,India,Mumbai,2024-09-14 00:00:00,2023-01-31 00:00:00,Google Ads,Tablet,Monthly,1,11,8.07287941254729,5.32652678678348,0.07,0.45,173.408947736035,87.0298312239056,1,REF10,3,0,2,Card,5,4,6.44,2067.64493780453,0,1
10015,Male,41,India,New York,2024-04-07 00:00:00,2024-04-12 00:00:00,Referral,Mobile,Monthly,0,15,6.83066186657963,5.92531187762238,0.05,0.44,911.236916608061,90.4334525208132,0,,2,1,3,Card,1,3,21.48,1131.46860612391,3,1
10016,Male,25,UK,Dhaka,2023-06-25 00:00:00,2023-07-26 00:00:00,Google Ads,Desktop,Annual,0,13,8.25125944383976,2.39334112022682,0.11,0.13,299.56465349321,89.6693828890325,1,,0,0,5,SEPA,5,1,21.68,1873.91567717125,10,0
10017,Male,43,Germany,Hamburg,2023-12-02 00:00:00,2024-02-06 00:00:00,Organic,Tablet,Annual,0,18,11.1680440302025,1.89828832839053,0.48,0.07,617.270867511097,73.0435056702653,0,,1,1,1,SEPA,4,1,28.53,364.360486690136,7,0
10018,Female,,UK,Delhi,2022-02-15 00:00:00,2023-06-17 00:00:00,Email,Desktop,Monthly,0,7,10.297290048473,5.39797678942398,0.64,0.3,262.08164412694,43.5098017415181,0,REF10,6,0,5,UPI,5,4,18.92,1001.92607179848,7,0
10019,Male,36,USA,London,2023-09-01 00:00:00,2023-12-09 00:00:00,Referral,Tablet,Annual,0,15,6.96992169461976,2.92778065362974,0.47,0.31,667.764068946264,41.0737744170707,0,,1,0,2,SEPA,5,10,20.98,1212.13553242261,13,0
10020,Male,34,USA,Delhi,2022-02-18 00:00:00,2023-03-08 00:00:00,Organic,Mobile,Annual,0,13,7.6053487692426,3.43167618021543,0.27,0.08,178.121544501536,34.7425794185076,1,SALE15,5,0,4,SEPA,1,1,12.33,1838.92245203308,4,1
10021,Female,45,Bangladesh,Mumbai,2022-04-30 00:00:00,2024-12-03 00:00:00,Referral,Mobile,Annual,0,17,11.2497358753828,4.14820795649145,0.22,0.41,666.438163933891,2.32760620812201,1,,1,0,1,Card,3,6,28.11,1719.27994069855,8,0
10022,Male,22,Bangladesh,London,2023-10-20 00:00:00,2023-01-11 00:00:00,Email,Tablet,Annual,1,10,6.08678142555463,4.50835716481522,0.34,0.28,396.458836389844,47.2648447451383,0,,3,0,1,Card,3,1,26.01,1223.9869890757,1,0
10023,Male,12,Germany,Hamburg,2024-04-23 00:00:00,2024-02-15 00:00:00,Facebook Ads,Mobile,Annual,1,21,7.4905683781866,2.96082458491247,0.16,0.37,738.700198807894,99.7378062362699,0,,2,0,4,SEPA,3,2,12.8,1591.87211836802,4,0
10024,Male,33,Germany,Dhaka,2024-01-31 00:00:00,2023-06-14 00:00:00,Facebook Ads,Mobile,Annual,0,15,10.4559533916995,5.93271600551567,0.07,0.49,452.191385505154,83.9023523465422,0,SALE15,2,1,1,UPI,2,2,28.41,928.851443257157,6,0
10025,Female,40,UK,Mumbai,2022-03-15 00:00:00,2023-05-20 00:00:00,Organic,Mobile,Monthly,1,15,10.859952670269,4.81754226475939,0.01,0.25,724.844630815973,56.0622409313109,0,REF10,0,0,1,PayPal,3,4,19.34,1885.99385979667,1,0
10026,Female,37,UK,Mumbai,2023-02-12 00:00:00,2024-04-25 00:00:00,Organic,Desktop,Monthly,1,13,7.69014072477255,6.35046363836634,0.07,0.36,169.463044129049,86.708467595137,1,,4,0,1,SEPA,4,6,21.65,655.956485976572,11,0
10027,Male,47,Germany,Berlin,2023-05-10 00:00:00,2024-02-16 00:00:00,Google Ads,Tablet,Annual,0,18,14.023940884065,5.11362938157476,0.6,0.32,65.901326251174,52.4283257558883,0,,1,0,3,SEPA,3,3,28.11,2621.14843788779,0,0
10028,Female,39,Germany,Delhi,2022-09-30 00:00:00,2023-09-19 00:00:00,Organic,Desktop,Monthly,0,20,8.42238726402152,5.16339718516969,0.37,0.19,462.122535157333,67.197849437207,0,NEW20,2,0,2,SEPA,2,9,12.91,126.368478037477,2,1
10029,Female,29,Bangladesh,New York,2022-04-17 00:00:00,2024-05-20 00:00:00,Facebook Ads,Mobile,Annual,1,17,4.09787675277307,5.94111002293121,0.09,0.24,893.998058731077,55.5652789280507,0,,1,0,4,UPI,4,5,12.16,155.97499415189,4,0
10030,Male,12,Bangladesh,London,2024-05-13 00:00:00,2023-08-01 00:00:00,Facebook Ads,Mobile,Monthly,1,22,11.3281911129199,5.51455626476889,0.51,0.24,316.916649617665,70.3272660356992,0,REF10,3,1,3,BKash,2,4,25.88,1828.84704930057,6,0
10031,Female,33,Bangladesh,Delhi,2022-07-03 00:00:00,2023-12-11 00:00:00,Google Ads,Tablet,Monthly,0,9,6.41006846314318,6.39174832466964,0.56,0.04,469.230284448055,77.2165603513276,1,SALE15,1,0,4,SEPA,3,2,27.56,362.012740474743,2,0
10032,Male,45,Germany,London,2022-12-11 00:00:00,2024-07-12 00:00:00,Email,Tablet,Monthly,0,19,10.0487417286164,0.775027650687028,0.48,0.25,197.443139312273,5.68079257502959,1,,5,0,3,UPI,3,2,22.76,2878.37694089717,12,0
10033,Male,31,UK,Delhi,2024-03-30 00:00:00,2023-02-05 00:00:00,Referral,Desktop,Annual,0,19,8.58696427563036,3.14324147729308,0.16,0.44,706.643291725302,66.5400038747933,1,NEW20,4,0,3,Card,4,8,21.05,2490.25022688502,3,0
10034,Other,35,India,New York,2023-08-06 00:00:00,2024-08-16 00:00:00,Facebook Ads,Tablet,Annual,0,12,16.1332705078706,2.3912577488111,0.89,0.43,611.838380884917,38.126280984307,1,REF10,5,0,6,UPI,4,4,10.79,1971.05843442477,8,0
